Training started at 2026-01-24 11:38:55
Configuration: TriangleNet  size56_mb8_percep1
======== Stage 1-1 ========
    Batch 500, Training Loss: 0.1676
    Batch 1000, Training Loss: 0.1643
    Batch 1500, Training Loss: 0.1610
    Batch 2000, Training Loss: 0.1578
    Batch 2500, Training Loss: 0.1524
    Batch 3000, Training Loss: 0.1556
    Batch 3500, Training Loss: 0.1551
    Batch 4000, Training Loss: 0.1519
    Batch 4500, Training Loss: 0.1532
    Batch 5000, Training Loss: 0.1501
    Batch 5500, Training Loss: 0.1531
    Batch 6000, Training Loss: 0.1515
    Batch 6500, Training Loss: 0.1474
    Batch 7000, Training Loss: 0.1541
    Batch 7500, Training Loss: 0.1502
    Batch 8000, Training Loss: 0.1514
    Batch 8500, Training Loss: 0.1486
    Batch 9000, Training Loss: 0.1510
    Batch 9500, Training Loss: 0.1511
    Batch 10000, Training Loss: 0.1482
    Batch 10500, Training Loss: 0.1470
    Batch 11000, Training Loss: 0.1509
    Batch 11500, Training Loss: 0.1478
    Batch 12000, Training Loss: 0.1471
    Batch 12500, Training Loss: 0.1492
    Batch 13000, Training Loss: 0.1497
    Batch 13500, Training Loss: 0.1474
    Batch 14000, Training Loss: 0.1501
    Batch 14500, Training Loss: 0.1487
    Batch 15000, Training Loss: 0.1467
    Batch 15500, Training Loss: 0.1493
    Batch 16000, Training Loss: 0.1468
    Batch 16500, Training Loss: 0.1493
    Batch 17000, Training Loss: 0.1515
    Batch 17500, Training Loss: 0.1498
    Batch 18000, Training Loss: 0.1457
    Batch 18500, Training Loss: 0.1503
    Batch 19000, Training Loss: nan
    Batch 19500, Training Loss: nan
    Batch 20000, Training Loss: nan
    Batch 20500, Training Loss: nan
    Batch 21000, Training Loss: nan
    Batch 21500, Training Loss: nan
